hanzi,pinyin,definition,frequency,HSKlevel,state
的,de,"possessive, adjectival suffix",1,1,2
一,yī,"one; a, an; alone",2,1,2
是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",3,1,2
不,bù,"no, not; un-; negative prefix",4,1,2
了,le,to finish; particle of completed action,5,1,2
在,zài,"be at, in, on; consist in, rest",6,1,2
人,rén,man; people; mankind; someone else,7,1,2
有,yǒu,"have, own, possess; exist",8,1,2
我,wǒ,"our, us, i, me, my, we",9,1,2
他,tā,"other, another; he, she, it",10,1,2
这,zhè,"this, the, here",11,1,2
个,gè,"numerary adjunct, piece; single",12,1,2
们,men,adjunct pronoun indicate plural,13,1,2
中,zhōng,"central; center, middle; in the midst of; hit (target); attain",14,1,2
来,lái,"come, coming; return, returning",15,1,2
上,shàng,"top; superior, highest; go up, send up",16,1,2
大,dà,"big, great, vast, large, high",17,1,2
为,wèi,"do, handle, govern, act; be",18,2,2
和,hé,"harmony, peace; peaceful, calm",19,1,2
国,guó,"nation, country, nation-state",20,1,2
地,de,"earth; soil, ground; region",21,3,2
到,dào,"go to, arrive, been to",22,2,2
以,yǐ,"by means of; thereby, therefore; consider as; in order to",23,2,2
说,shuō,"speak, say, talk; scold, upbraid",24,1,2
时,shí,"time, season; era, age, period",25,1,2
要,yào,"necessary, essential; necessity",26,2,2
就,jiù,"just, simply; to come, go to; to approach, near",27,2,2
出,chū,"go out, send out; stand; produce",28,1,2
会,huì,"assemble, meet together; meeting",29,1,2
可,kě,"may, can, -able; possibly",30,2,2
也,yě,also; classical final particle of strong affirmation or identity,31,2,2
你,nǐ,"you, second person pronoun",32,1,2
对,duì,"correct, right; facing, opposed",33,1,2
生,shēng,"life, living, lifetime; birth",34,1,2
能,néng,"to be able; can, permitted to; ability",35,1,2
而,ér,and; and then; and yet; but,36,3,2
子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",37,1,2
那,nà,"that, that one, those",38,1,2
得,dé,"obtain, get, gain, acquire",39,2,2
于,yú,"in, on, at; go to; surname",40,3,2
着,zhe,"make move, take action",41,2,2
下,xià,"under, underneath, below; down; inferior; bring down",42,1,2
自,zì,"self, private, personal; from",43,3,2
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",44,4,2
年,nián,,45,1,2
过,guò,"pass, pass through, go across",46,2,2
发,fā,"issue, dispatch, send out; hair",47,3,2
后,hòu,"queen, empress, sovereign; (simp. for後) behind, rear, after",48,1,2
作,zuò,"make; work; compose, write; act, perform",49,1,2
里,lǐ,unit of distance; village; lane,50,1,2
用,yòng,"use, employ, apply, operate; use",51,3,2
道,dào,"path, road, street; method, way",52,2,2
行,xíng,"go; walk; move, travel; circulate",53,3,2
所,suǒ,"place, location; numerary adjunct",54,2,2
然,rán,"yes, certainly; pledge, promise",55,2,2
家,jiā,"house, home, residence; family",56,1,2
种,zhǒng,"seed; race, breed; to plant",57,3,2
事,shì,"affair, matter, business; to serve; accident, incident",58,2,2
成,chéng,"completed, finished, fixed",59,3,2
方,fāng,"a square, rectangle; a region; local",60,3,2
多,duō,"much, many; more than, over",61,1,2
经,jīng,classic works; pass through,62,2,2
么,me,interrogative particle; repetition of a tune small; tender,63,1,2
去,qù,"go away, leave, depart",64,1,2
法,fǎ,"law, rule, regulation, statute; France, French",65,3,2
学,xué,"learning, knowledge; school",66,1,2
如,rú,"if, supposing; as if; like, as",67,3,2
都,dōu,"metropolis, capital; all, the whole; elegant, refined",68,1,2
同,tóng,"same, similar; together with",69,1,2
现,xiàn,"appear, manifest, become visible",70,1,2
当,dāng,"bear, accept, undertake; just",71,3,2
没,méi,"not, have not, none; drown, sink",72,1,2
动,dòng,"move, happen; movement, action",73,2,2
面,miàn,"face; surface; plane; side, dimension",74,1,2
起,qǐ,"rise, stand up; go up; begin",75,1,2
看,kàn,"look, see; examine, scrutinize",76,1,2
定,dìng,"decide, settle, fix",77,3,2
天,tiān,"sky, heaven; god, celestial",78,1,2
分,fēn,divide; small unit of time etc.,79,1,2
还,hái,"still, yet, also, besides",80,2,2
进,jìn,"advance, make progress, enter",81,2,2
好,hǎo,"good, excellent, fine; well",82,1,2
小,xiǎo,"small, tiny, insignificant",83,1,2
部,bù,"part, division, section",84,4,2
其,qí,"his, her, its, their; that",85,3,2
些,xiē,"little, few; rather, somewhat",86,1,2
主,zhǔ,"master, chief owner; host; lord",87,3,2
样,yàng,"shape, form, pattern, style",88,1,2
理,lǐ,"reason, logic; manage",89,3,2
心,xīn,"heart; mind, intelligence; soul",90,3,2
她,tā,"she, her",91,1,2
本,běn,"root, origin, source; basis",92,1,2
前,qián,"in front, forward; preceding",93,1,2
开,kāi,"open; initiate, begin, start",94,1,2
但,dàn,"only; but, however, yet, still",95,2,2
因,yīn,"cause, reason; by; because (of)",96,2,2
只,zhǐ,"only, just, simply",97,3,2
从,cóng,"from, by, since, whence, through",98,2,2
想,xiǎng,"think, speculate, plan, consider",99,1,2
实,shí,"real, true; honest, sincere",100,3,2
日,rì,sun; day; daytime,101,2,2
军,jūn,"army, military; soldiers, troops",102,5,1
者,zhě,that which; he who; those who,103,3,2
意,yì,"thought, idea, opinion; think",104,2,2
无,wú,"negative, no, not; KangXi radical 71",105,4,2
力,lì,"power, capability, influence",106,3,2
它,tā,it; other,107,2,2
与,yǔ,"and; with; to; for; give, grant",108,4,2
长,zhǎng,long; length; excel in; leader,109,2,2
把,bǎ,"hold, take; guard; regard as",110,3,2
机,jī,desk; machine; moment,111,1,2
十,shí,"ten, tenth; complete; perfect",112,1,2
民,mín,"people, subjects, citizens",113,4,2
第,dì,"sequence, number; grade, degree",114,2,2
公,gōng,"fair, equitable; public; duke",115,2,2
此,cǐ,"this, these; in this case, then",116,4,2
已,yǐ,already; finished; stop,117,2,2
工,gōng,"labor, work; worker, laborer",118,1,2
使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",119,4,2
情,qíng,"feeling, sentiment, emotion",120,2,2
明,míng,"bright, light, brilliant; clear",121,1,2
性,xìng,"nature, character, sex",122,4,2
知,zhī,"know, perceive, comprehend",123,2,2
全,quán,"maintain, keep whole or intact",124,4,2
三,sān,three,125,1,2
又,yòu,"and, also, again, in addition",126,3,2
关,guān,frontier pass; close; relation,127,1,2
点,diǎn,"dot, speck, spot; point, degree",128,1,2
正,zhèng,"right, proper, correct",129,2,2
业,yè,"profession, business; GB radical 111",130,3,2
外,wài,"out, outside, external; foreign",131,2,2
将,jiāng,"will, going to, future; general",132,4,2
两,liǎng,"two, both, pair, couple; ounce",133,2,2
高,gāo,"high, tall; lofty, elevated",134,1,2
间,jiān,"midpoint, space; place, locality",135,2,2
由,yóu,"cause, reason; from",136,4,2
问,wèn,"ask about, inquire after",137,2,2
很,hěn,"very, quite, much",138,1,2
最,zuì,"most, extremely, exceedingly",139,2,2
重,zhòng,"heavy, weighty; double",140,3,2
并,bìng,,141,4,1
物,wù,"thing, substance, creature",142,3,2
手,shǒu,hand,143,2,2
应,yīng,"should, ought to, must",144,3,2
战,zhàn,"war, fighting, battle",145,5,2
向,xiàng,"toward, direction, trend",146,3,2
头,tóu,"head; top; chief, first; boss",147,3,2
文,wén,"literature, culture, writing",148,3,2
体,tǐ,"body; group, class, body, unit; inferior",149,2,2
政,zhèng,"government, political affairs",150,5,1
美,měi,"beautiful, pretty; pleasing",151,4,2
相,xiāng,"mutual, reciprocal, each other",152,3,2
见,jiàn,"see, observe, behold; perceive",153,1,2
被,bèi,,154,3,2
利,lì,"gains, advantage, profit, merit",155,4,2
什,shén,"file of ten soldiers; mixed, miscellaneous",156,1,2
二,èr,two; twice,157,1,2
等,děng,,158,2,2
产,chǎn,"give birth, bring forth, produce",159,5,1
或,huò,"or, either, else; perhaps, maybe",160,3,2
新,xīn,"new, recent, fresh, modern",161,2,2
己,jǐ,"self, oneself; personal, private; 6th heavenly stem",162,3,2
制,zhì,system; establish; overpower,163,5,1
身,shēn,"body; trunk, hull; rad. no. 158",164,2,2
果,guǒ,fruit; result,165,1,2
加,jiā,"add to, increase, augment",166,3,2
西,xī,"west(ern); westward, occident",167,1,2
斯,sī,"this, thus, such; to lop off; emphatic particle",168,6,0
月,yuè,moon; month; KangXi radical 74,169,1,2
话,huà,"speech, talk, language; dialect",170,1,2
合,hé,"combine, unite, join; gather",171,4,2
回,huí,"return, turn around; a time",172,1,2
特,tè,"special, unique, distinguished",173,3,2
代,dài,"replace, replacement (of person or generation); era, generation",174,5,2
内,nèi,inside,175,4,2
信,xìn,"trust, believe; letter",176,3,2
表,biǎo,"show, express, manifest, display",177,2,2
化,huà,"change, convert, reform; -ize",178,3,2
老,lǎo,"old, aged; experienced",179,1,2
给,gěi,"give; by, for",180,2,2
世,shì,generation; world; era,181,3,2
位,wèi,"throne; position, post; rank, status; seat",182,3,2
次,cì,"order, sequence; next",183,2,2
度,dù,"degree, system; manner; to consider",184,4,2
门,mén,"gate, door, entrance, opening",185,2,2
任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",186,4,2
常,cháng,"common, normal, frequent, regular",187,2,2
先,xiān,"first, former, previous",188,1,2
海,hǎi,"sea, ocean; maritime",189,4,2
通,tōng,"pass through, common, communicate",190,4,2
教,jiào,"teach, class",191,2,2
儿,ér,"son, child; KangXi radical 10",192,1,2
原,yuán,"source, origin, beginning",193,4,2
东,dōng,"east, eastern, eastward",194,1,2
声,shēng,"sound, voice, noise; tone; music",195,3,2
提,tí,hold in hand; lift in hand,196,3,2
立,lì,"stand; let stand; establish, set",197,5,1
及,jí,extend; reach; come up to; and,198,4,2
比,bǐ,"to compare, liken; comparison; than",199,2,2
员,yuán,"member; personnel, staff member",200,2,2
解,jiě,"loosen, unfasten, untie; explain",201,3,2
水,shuǐ,"water, liquid, lotion, juice",202,1,2
名,míng,"name, rank, title, position",203,1,2
真,zhēn,"real, actual, true, genuine",204,2,2
论,lùn,debate; discuss; discourse,205,4,2
处,chù,"place, locale; department",206,4,2
走,zǒu,"walk, go on foot; run; leave",207,2,2
义,yì,"right conduct, righteousness",208,5,2
各,gè,"each, individually, every, all",209,4,2
入,rù,"enter, come in(to), join",210,4,2
几,jǐ,small table,211,1,2
口,kǒu,"mouth; open end; entrance, gate",212,3,2
认,rèn,"recognize, know, understand",213,1,2
条,tiáo,"clause, condition; string, stripe",214,2,2
平,píng,"flat, level, even; peaceful",215,3,2
系,xì,"system; line, link, connection",216,1,2
气,qì,"steam, vapor; KangXi radical 84",217,1,2
题,tí,"forehead; title, headline; theme",218,2,2
活,huó,"live, exist, survive; lively",219,4,2
尔,ěr,"you; that, those; final particle",220,4,2
更,gèng,"more, still further, much more",221,3,2
别,bié,"separate, other; do not",222,2,2
打,dǎ,"strike, hit, beat; fight; attack",223,1,2
女,nǚ,"woman, girl; feminine; rad. 38",224,1,2
变,biàn,"change, transform, alter; rebel",225,3,2
四,sì,four,226,1,2
神,shén,"spirit, god, supernatural being",227,5,2
总,zǒng,"collect; overall, altogether",228,3,2
何,hé,"what, why, where, which, how",229,4,1
电,diàn,electricity; electric; lightning,230,1,2
数,shù,"number; several, count; fate",231,3,2
安,ān,"peaceful, tranquil, quiet",232,3,2
少,shǎo,"few, less, inadequate",233,1,2
报,bào,"report, tell, announce",234,2,2
才,cái,"talent, ability; just, only",235,3,2
结,jié,"knot, tie; join, connect",236,3,2
反,fǎn,"reverse, opposite, contrary, anti",237,4,2
受,shòu,"receive, accept, get; bear, stand",238,4,2
目,mù,"eye; look, see; division, topic",239,3,2
太,tài,"very, too, much; big; extreme",240,1,2
量,liàng,"measure, quantity, capacity",241,4,2
再,zài,"again, twice, re-",242,1,2
感,gǎn,"feel, perceive, emotion",243,3,2
建,jiàn,"build, establish, erect, found",244,4,2
务,wù,"affairs, business; must, should",245,2,2
做,zuò,"work, make; act",246,1,2
接,jiē,receive; continue; catch; connect,247,3,2
必,bì,"surely, most certainly; must",248,3,2
场,chǎng,"open space, field, market",249,2,2
件,jiàn,numerary adjunct for article; matter,250,2,2
计,jì,"plan, plot; strategem; scheme",251,4,2
管,guǎn,"pipe, tube, duct; woodwind music",252,4,2
期,qī,period of time; date; time limit,253,1,2
市,shì,"market, fair; city, town; trade",254,3,2
直,zhí,"straight, erect, vertical",255,3,2
德,dé,"ethics, morality, virtue",256,5,0
资,zī,property; wealth; capital,257,4,2
命,mìng,"life; destiny, fate, luck; an order, instruction",258,4,2
山,shān,"mountain, hill, peak",259,3,2
金,jīn,gold; metals in general; money,260,4,2
指,zhǐ,"finger, toe; point, indicate",261,4,2
克,kè,gram; overcome; transliteration,262,4,1
许,xǔ,"allow, permit; promise; betroth",263,4,2
统,tǒng,"govern, command, control; unite",264,5,1
区,qū,"area, district, region, ward",265,4,2
保,bǎo,"protect, safeguard, defend, care",266,4,2
至,zhì,"reach, arrive; extremely, very",267,4,2
